ClassName,Changes,TotalCommits
WebServiceClientAsync,6,1113
WebServiceClient,9,1125
WebServiceConfig,2,1125
ConnectionPreconditions,2,1014
Streams,2,1014
HasId,3,1014
IDFactory,3,1006
Id,4,1014
ID,3,1006
MetaData,3,1014
Queryable,2,1005
ResourceDepot,2,995
ResourceMap,3,1014
RestCall,3,1014
RestCallSpec,3,1014
RestRequest,4,1014
RestRequestSpec,2,1014
RestResource,3,1014
RestResponse,3,1014
RestResponseSpec,2,1014
ValueBasedId,2,995
ResourceQuery,2,993
TypedKeysQuery,2,993
CallPath,6,1125
CallPathMap,4,1125
ContentBody,4,1125
ContentBodySpec,5,1125
HeaderMap,7,1125
HeaderMapSpec,6,1125
HttpMethod,4,1125
Pair,2,995
Preconditions,2,1017
ParamMap,9,1125
ParamMapSpec,3,1125
Preconditions,3,1117
RequestBodyGsonConverter,2,1017
RequestBody,2,1017
RequestBodySpec,2,1017
RequestSpec,2,1017
ResponseBodyGsonConverter,2,1017
ResponseBody,2,1017
ResponseBodySpec,2,1017
ResponseSpec,2,1017
WebServiceCall,2,1017
WebServiceCallSpec,2,1017
WebServiceRequest,2,1017
WebServiceResponse,2,1017
WebServiceSpec,2,1017
RequestBody,6,1125
RequestBodySpec,4,1125
RequestSpec,3,1125
ResponseBody,6,1125
ResponseBodySpec,4,1125
ResponseSpec,3,1125
HasId,3,1048
Id,5,1048
MetaData,6,1046
Preconditions,2,1106
ResourceMap,5,1106
RestCall,3,1106
RestCallSpec,6,1106
RestRequest,5,1106
RestRequestSpec,3,1106
RestResource,3,1048
RestResponse,3,1106
RestResponseSpec,3,1106
TypedKey,5,1107
TypeUtils,3,1125
Util,2,1125
WebServiceAppException,2,1125
WebServiceCall,2,1125
WebServiceCallSpec,8,1125
WebServiceRequest,3,1125
WebServiceResponse,4,1125
WebServiceSpec,2,1125
WebServiceSystemException,4,1125
IdTypeAdapter,2,1046
RequestBodyGsonConverter,3,1125
ResponseBodyGsonConverter,3,1125
IdTest,3,1014
IdTypeAdapterTest,4,1014
CallPathTest,4,1009
IdTest,3,1041
IdTypeAdapterTest,3,1017
TypedKeyTest,2,1091
IdTypeAdapterTest,2,1046
ExampleClient,7,1085
OrderClient,7,1005
Cart,6,1087
LineItem,3,1087
Order,6,1087
QueryOrdersByItemName,2,991
TypedKeys,4,1087
SampleJsonService,5,1087
ServicePaths,3,988
MainServlet,8,1083
ProcedureDispatcher,5,988
RestDispatcher,6,988
IdMap,6,1014
MetaDataMap,4,1014
RepositoryInMemory,4,1014
Repository,4,1014
ResponseBuilderMap,4,988
RestRequestReceiver,5,1014
RestResponseBuilder,5,1014
RestResponseSender,4,1014
CallPath,2,1377
CallPathMap,2,1377
RequestSender,3,1377
ResponseReceiver,4,1377
WebServiceClient,3,1377
WebServiceConfig,3,1377
ContentBody,3,1377
ContentBodySpec,3,1377
HeaderMap,3,1377
HeaderMapSpec,3,1377
HttpMethod,2,1377
CallPathProvider,7,1377
RequestBodySpecProvider,5,1377
RequestSpecProvider,5,1377
RequestBodySpecProvider,3,1014
RequestSpecProvider,3,1014
WebServiceCallServerProvider,3,1016
WebServiceCallSpecProvider,3,1016
WebServiceCallServerProvider,4,1365
WebServiceCallProvider,3,1377
WebServiceCallSpecProvider,5,1377
ParamMap,2,1365
ParamMapSpec,3,1377
RequestBody,3,1377
RequestBodySpec,2,1377
RequestSpec,2,1377
ResponseBody,3,1377
ResponseBodySpec,2,1377
ResponseSpec,2,1377
RequestReceiver,3,1016
ResponseBuilder,3,1016
ResponseSender,3,1016
WebServiceCallServerBuilder,3,1016
RequestReceiver,6,1377
ResponseBuilder,3,1114
ResponseSender,6,1377
IdMap,3,1048
MetaData,2,1048
MetaDataMap,3,1046
RepositoryInMemory,4,1048
Repository,2,1048
RestRequestReceiver,3,1106
RestResponseBuilder,3,1106
RestResponseSender,3,1106
WebServiceCallServerBuilder,4,1124
RequestBodyGsonConverter,3,1377
ResponseBodyGsonConverter,4,1377
TypeUtils,2,1377
Util,2,1377
WebServiceAppException,2,1377
WebServiceCall,2,1377
WebServiceCallSpec,2,1377
WebServiceRequest,2,1377
WebServiceResponse,3,1377
WebServiceSpec,2,1377
WebServiceSystemException,2,1377
CallPathProviderTest,2,1011
