Version,Strategy,Accuracy,FDR
84,MinLines,0.0,0
85,Total,0.0,0
85,Mean,0.0,0
85,Max,0.0,0
85,Min,1.0,1
85,TotalLines,0.0,0
85,MeanLines,0.0,0
85,MaxLines,0.0,0
85,MinLines,1.0,1
86,Total,0.0,0
86,Mean,1.0,1
86,Max,1.0,1
86,Min,1.0,1
86,TotalLines,0.0,0
86,MeanLines,1.0,1
86,MaxLines,1.0,1
86,MinLines,1.0,1
87,Total,0.0,0
87,Mean,0.0,0
87,Max,0.0,0
87,Min,0.0,0
87,TotalLines,0.0,0
87,MeanLines,0.0,0
87,MaxLines,0.0,0
87,MinLines,0.0,0
88,Total,0.0,0
88,Mean,0.0,0
88,Max,0.0,0
88,Min,0.0,0
88,TotalLines,0.0,0
88,MeanLines,0.0,0
88,MaxLines,0.0,0
88,MinLines,0.0,0
89,Total,1.0,1
89,Mean,1.0,1
89,Max,1.0,1
89,Min,1.0,1
89,TotalLines,1.0,1
89,MeanLines,1.0,1
89,MaxLines,1.0,1
89,MinLines,1.0,1
90,Total,0.0,0
90,Mean,0.0,0
90,Max,0.0,0
90,Min,0.0,0
90,TotalLines,0.0,0
90,MeanLines,0.0,0
90,MaxLines,0.0,0
90,MinLines,0.0,0
91,Total,0.3333333333333333,1
91,Mean,0.0,0
91,Max,0.0,0
91,Min,0.0,0
91,TotalLines,0.3333333333333333,1
91,MeanLines,0.0,0
91,MaxLines,0.0,0
91,MinLines,0.0,0
92,Total,0.0,0
92,Mean,0.6666666666666666,1
92,Max,0.0,0
92,Min,1.0,1
92,TotalLines,0.0,0
92,MeanLines,0.3333333333333333,1
92,MaxLines,0.0,0
92,MinLines,0.6666666666666666,1
93,Total,1.0,1
93,Mean,1.0,1
93,Max,1.0,1
93,Min,1.0,1
93,TotalLines,1.0,1
93,MeanLines,1.0,1
93,MaxLines,1.0,1
93,MinLines,0.0,0
